department,n_years,temp_avg_mean,temp_avg_slope_yr,temp_avg_slope_decade,temp_avg_pvalue,temp_avg_r2,temp_max_mean,temp_max_slope_yr,temp_max_slope_decade,temp_max_pvalue,temp_max_r2,precip_mean,precip_slope_yr,precip_slope_decade,precip_pvalue,precip_r2,extreme_heat_mean,extreme_heat_slope_yr,extreme_heat_slope_decade,extreme_heat_pvalue,extreme_heat_r2,temp_avg_sig,temp_max_sig,precip_sig,extreme_heat_sig
Alpes_de_Haute_Provence,33,7.654708,0.0542139643653817,0.5421396436538171,0.00044041693030017035,0.33283614266417805,12.467549,0.05734578938407556,0.5734578938407555,0.0018512620753060303,0.27208622926499804,0.014358199,-1.92E-05,-0.000191682,0.7547952331293883,0.003192662816223324,0,0,0,,,***,**,,
Aude,33,14.187591,0.05419514555344488,0.5419514555344488,0.0013780354892734606,0.2849294731250098,18.868967,0.06093731665993587,0.6093731665993587,0.004075756286786533,0.23688587710909348,0.014559398,-2.11E-05,-0.00021126,0.7411863929141544,0.0035697266438370345,1.0909090909090908,0.06383689839572115,0.6383689839572115,0.042610899552547876,0.1260538754975662,**,**,,*
Alpes_Maritimes,33,8.711804,0.05388714875129332,0.5388714875129332,0.00019966243579939624,0.36443541601509943,12.767118,0.055499974737828965,0.5549997473782896,0.0009340647083851655,0.301570252999399,0.016041208,-2.70E-05,-0.000270026,0.7011483559261336,0.00481653543355598,0,0,0,,,***,***,,
Ariege,33,7.8936315,0.053717722229777366,0.5371772222977736,0.0017795666710432169,0.27381502258662327,12.241984,0.060628351361991614,0.6062835136199162,0.005298103772304236,0.2249189226849737,0.030208178,-3.52E-05,-0.000351624,0.7370400639270666,0.003689229498917479,0,0,0,,,**,**,,
Bouches_du_Rhone,33,16.08947,0.05366555955958127,0.5366555955958128,0.001544640418522529,0.2799854518954118,20.995602,0.054889124982496096,0.548891249824961,0.011217246695900254,0.19002307002301588,0.0060028,1.9279545338666123e-06,1.927954533866612e-05,0.9568870898711781,9.580287272503707e-05,3.484848484848485,0.20153743315507533,2.0153743315507535,0.015225079482687963,0.1755556549795535,**,*,,*
Tarn_et_Garonne,33,14.042932,0.05365619525552303,0.5365619525552303,0.004202892477391214,0.2354911329225735,19.262224,0.05872000984966912,0.5872000984966912,0.014731346599513185,0.1771231605166449,0.00903842,-1.66E-05,-0.000165795,0.6808103573218953,0.0055318900554736095,4.333333333333333,0.11731283422459629,1.1731283422459629,0.1761624018344761,0.05821414441022765,**,*,,
Vaucluse,33,14.181662,0.05299312163164138,0.5299312163164138,0.00106861832483117,0.2958472835219328,19.40793,0.05600818083247886,0.5600818083247886,0.006753811134559159,0.21373086040981104,0.008203094,-1.98E-06,-1.98E-05,0.9628574923634046,7.108902733532485e-05,1.4848484848484849,0.10661764705882189,1.0661764705882188,0.01655656273140924,0.17156282032837822,**,**,,*
Jura,33,11.900788,0.052433318951549804,0.524333189515498,0.002299971195620279,0.2625301336929997,16.74943,0.059768654764653845,0.5976865476465385,0.0047642797067674846,0.22977984243184912,0.01942925,-0.000100812,-0.00100812,0.14729356338102403,0.06652270851647724,0.21212121212121213,0.0013368983957220814,0.013368983957220814,0.9052477703452109,0.00046439628482974893,**,**,,
Lot,33,13.01963,0.05225095838148856,0.5225095838148857,0.003122504312750153,0.24890702062792158,18.076143,0.05780456378498046,0.5780456378498046,0.011357388503713385,0.18943771949078636,0.010997819,-4.69E-05,-0.000469226,0.30984177043582883,0.0332435316312214,1.5151515151515151,0.026737967914439092,0.2673796791443909,0.5369609237583897,0.012418760607691648,**,*,,
Saone_et_Loire,33,12.475798,0.05222091540933187,0.5222091540933187,0.0023357927173189136,0.26184599326720714,17.585464,0.0583532140216713,0.583532140216713,0.007417131730562554,0.209385304001947,0.016499743,-0.000110407,-0.00110407,0.08313058010995777,0.09373156957000461,1.303030303030303,0.04846256684491963,0.4846256684491963,0.18030824827200792,0.05714474676021253,**,**,?,
Rhone,33,12.627365,0.05209431992495019,0.5209431992495019,0.002080543224006467,0.2669569728454949,17.6915,0.056371646450163904,0.563716464501639,0.008747956771135415,0.20169422248248148,0.012749078,-4.94E-05,-0.000494438,0.336947588141432,0.029772357429928675,1,0.036430481283422356,0.36430481283422356,0.25629185713334673,0.04136377562388749,**,**,,
Tarn,33,12.557241,0.05170737294589652,0.5170737294589652,0.0022117245201860717,0.2642598956382477,17.292723,0.05705919399618309,0.5705919399618309,0.009628291120763717,0.19720483368692432,0.015221554,-2.48E-05,-0.000247938,0.7100543256821032,0.004521004452888833,0.5151515151515151,0.0040106951871661,0.040106951871661,0.8520693879120165,0.001139336652882128,**,**,,
Haute_Saone,33,12.44866,0.05164248707460122,0.5164248707460122,0.004340812617089841,0.23402308144570572,17.417439,0.05818271541340381,0.5818271541340381,0.008106598620570945,0.2052484697192164,0.008655801,-6.28E-05,-0.000628031,0.10752927602685673,0.08139781770211729,0.696969696969697,0.03308823529411735,0.3308823529411735,0.21612754038730478,0.04891369443705118,**,**,,
Ain,33,12.182754,0.051595514152138165,0.5159551415213817,0.001997800476751984,0.26874288056046036,17.085081,0.058158753071238155,0.5815875307123816,0.005066195588472063,0.22697008528053597,0.012532084,-4.89E-05,-0.000489457,0.28774609380486815,0.03636898958344881,0.36363636363636365,0.008355614973262145,0.08355614973262146,0.6422820924931916,0.007048448213640923,**,**,,
Bas_Rhin,33,12.343765,0.05145024169575012,0.5145024169575012,0.00768970837364999,0.20770723719704187,17.177914,0.05773688382643377,0.5773688382643377,0.013799616471835374,0.18022548281546924,0.00783415,-6.24E-05,-0.000623903,0.10056360203579987,0.08459620322522987,0.6363636363636364,0.031417112299464964,0.31417112299464967,0.22100555169368458,0.04791341315287179,**,*,,
Nievre,33,12.396835,0.05133216680689817,0.5133216680689817,0.003000237109195156,0.2506973988829624,17.391148,0.05777737546094463,0.5777737546094462,0.009452462760385477,0.19806890418419365,0.012962318,-9.02E-05,-0.000902064,0.06529173809455942,0.10538741212386404,1.0909090909090908,0.03442513368983875,0.3442513368983875,0.23574499089248774,0.04503888737943229,**,**,?,
Pyrenees_Orientales,33,13.674685,0.051312922475170795,0.513129224751708,0.0009005090994786303,0.30311947962474783,17.801182,0.0549058308575863,0.549058308575863,0.0027836807358174944,0.2540468519508807,0.008825756,1.991450812115094e-05,0.00019914508121150938,0.7214115329583158,0.0041594066258668905,0.030303030303030304,0.005347593582887557,0.05347593582887557,0.09320551954022267,0.08823529411764874,***,**,,?
Haut_Rhin,33,11.337221,0.05130457463748886,0.5130457463748885,0.003907378179233136,0.23879864369749293,16.171381,0.05688543115707578,0.5688543115707578,0.008694190988820162,0.20198236018656968,0.005493222,-3.44E-05,-0.000343786,0.13167834130563988,0.07178703365519068,0.12121212121212122,1.0791286684885418e-16,1.0791286684885418e-15,0.9999999999999933,1.1102230246251565e-16,**,**,,
Haute_Garonne,33,13.549688,0.05130286203986047,0.5130286203986046,0.004258376919128671,0.23489507211405014,18.645544,0.05745931902033573,0.5745931902033573,0.013478217038230003,0.1813429932222944,0.013025607,-1.37E-05,-0.000136658,0.7954860298711901,0.0021999369603817875,2.0606060606060606,0.07118983957219245,0.7118983957219245,0.17565051526140196,0.05834810894973652,**,*,,
Drome,33,11.460524,0.05119666090623465,0.5119666090623465,0.0010701283313606705,0.2957870327706056,16.433533,0.056298489876608085,0.5629848987660808,0.004673483330738826,0.23065829926747983,0.022843337,-3.73E-05,-0.000372672,0.6936999614982754,0.005071920319900558,0,0,0,,,**,**,,
Var,33,14.485364,0.05105771929184904,0.5105771929184904,0.0003148746280975517,0.3464019694840149,18.391068,0.05267969299765055,0.5267969299765055,0.0022524032705353537,0.26345450294150097,0.019419098,-4.04E-05,-0.000404395,0.7094356461149296,0.004541191669937605,0.21212121212121213,0.01336898395721903,0.1336898395721903,0.18405758248090853,0.05620082427875572,***,**,,
Cote_d_Or,33,12.034726,0.05091134940876582,0.5091134940876583,0.003549181296620103,0.24314503434727075,16.862967,0.058193948498383066,0.5819394849838306,0.007590655548330363,0.20831031095898356,0.019149479,-0.000144232,-0.001442325,0.06530059084488708,0.10538085601669833,0.6363636363636364,0.023395721925133593,0.23395721925133592,0.37997151010515506,0.02495111618054424,**,**,?,
