department,n_years,mean_yield,tech_trend_yr,tech_trend_pval,coef_temp,coef_temp_pval,coef_precip,coef_precip_pval,coef_extreme_heat,coef_extreme_heat_pval,r2,adj_r2,tech_trend_sig,coef_temp_sig,coef_precip_sig,coef_extreme_heat_sig
Charente,33,4.878688287975295,0.057171960693610614,0.0002856406622088552,-0.318714931,0.14044655436424938,-88.87636646,0.2336105510681941,0.04528778650886858,0.30344014193880636,0.40350235463708384,0.3182884052995244,***,,,
Gironde,33,4.348201192533703,0.06370350147361695,3.119716237262341e-05,-0.280432453,0.1574687552331953,-30.40961289,0.3521841359273168,0.04760959639265255,0.32842476716887303,0.5139712837705313,0.4445386100234643,***,,,
Hautes_pyrenees,33,4.500135151515152,0.04502301663467259,0.0020708137126386104,-0.27366683,0.12759063004863724,-35.17197914,0.15616792177309996,0,,0.29827272887308875,0.2256802525496152,**,,,
Haute_Garonne,33,4.604706666666667,0.02042183913456635,0.1441392011653376,-0.260234519,0.1843731609632362,-79.46441695,0.1957595222090074,0.015779811942725624,0.7287375309694146,0.09828766980247372,-0.030528377,,,,
Charente_Maritime,33,5.373243360881543,0.06912053737311995,0.0012865667542805636,-0.252432089,0.40239539178848416,-70.21486581,0.23078690275403663,0.03490862250418479,0.6817747948815699,0.36641308866106903,0.27590067275550756,**,,,
Dordogne,33,4.13725696969697,0.06586507607855335,3.49873747326589e-06,-0.215586441,0.23007016046152742,-25.72443058,0.4217289577817386,0.027763913647224917,0.419727224629172,0.5887463341013284,0.5299958104015181,***,,,
Gers,33,4.597813636363636,0.03365346965363307,0.04580403065646853,-0.205901739,0.4410651944976268,-34.98076295,0.5386946093754544,0.016272487663151158,0.6224634616365523,0.15912082013748297,0.03899522301426628,*,,,
Lot_et_Garonne,33,4.785155454545456,0.06908004285068384,7.555771547868127e-05,-0.193558267,0.42981262348249316,-63.56589924,0.4784912186856388,0.013611468454428339,0.6861606125197818,0.5112301667350947,0.4414059048401082,***,,,
Landes,33,4.47894606060606,0.06309177493187504,4.150820802262569e-05,-0.191673296,0.39633591074080865,5.203457420220764,0.8831555457948965,0.0678511443122137,0.15733380261676522,0.580516501797459,0.5205902877685246,***,,,
Essonne,33,6.345362424242424,0.059044903681152505,0.0001308292123972351,-0.162700918,0.404962407047306,-312.9086978,0.15765688012390777,0.02803610953115957,0.4975365072234693,0.4880656478216664,0.4149321689390474,***,,,
Lot,33,4.04243747968057,0.05234136964334329,4.127664366481918e-05,-0.16005546,0.317109924160035,4.108651619678162,0.9326506105810025,0.07211045450792096,0.13518192851349045,0.5194318961147749,0.4507793098454571,***,,,
Ariege,33,4.285499393939394,0.026458898423409583,0.03292246697708027,-0.159452132,0.3118412883929216,-20.8577658,0.38112499115455123,0,,0.15776071810604675,0.07063251653081026,*,,,
Haute_Vienne,33,4.209486969696969,0.0844977958692209,4.833410771021438e-09,-0.124828393,0.36306505697588265,-7.722660583,0.7947398151445642,0.13103256602295535,0.034404915423027246,0.7622235653786116,0.7282555032898419,***,,,*
